threads,mutex_median_throughput_msgs_per_sec,cas_median_throughput_msgs_per_sec,improvement_percent
1,3283970.000000,2872010.000000,-12.544573
2,1532680.000000,3655430.000000,138.499230
4,1722500.000000,5488040.000000,218.608999
8,1380890.000000,4354670.000000,215.352418
16,1465320.000000,3785400.000000,158.332651
